Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
oPt006139,9/3/2021,16:30,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
oPt006140,9/3/2021,16:00,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,health care personnel ,,,0,0,0,0,0,0
oPt006137,9/3/2021,14:40,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,YES,,,,0,0,0,0,0,0
oPt006138,9/3/2021,14:00,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,Unknown,,,,0,0,0,0,0,0
BFA006050,9/2/2021,14:00,Burkina Faso,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,Reproductive Health services affected,Primary,,0,0,0,0,0,0
BFA006022,9/1/2021,05:00,Burkina Faso,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,,Primary,,1,0,0,0,0,0
SYR006019,8/30/2021,01:45,Syrian Arab Republic,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,NO,NO,NO,NO,NO,Unknown,,Primary,,0,0,0,0,0,0
SYR006020,8/30/2021,01:45,Syrian Arab Republic,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
YEM006054,8/29/2021,12:00,Yemen,Confirmed," Armed or violent search of health care personnel, facility or transport, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,NO,NO,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
MMR006122,8/27/2021,21:05,Myanmar,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
oPt006066,8/27/2021,18:45,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
CAF006028,8/27/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
oPt006067,8/27/2021,16:45,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
SYR006015,8/27/2021,Time Unknown,Syrian Arab Republic,Confirmed, Assault (without weapons),2,0,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
oPt006068,8/27/2021,13:40,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
CAF006043,8/25/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
SDN006004,8/25/2021,10:05,Sudan,Confirmed," Assault (without weapons), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,YES,NO,NO,YES,,Secondary,,0,0,0,0,0,0
SYR006013,8/23/2021,15:30,Syrian Arab Republic,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,Secondary,Clinic,0,0,0,0,0,0
MMR005996,8/21/2021,12:00-18:00,Myanmar,Probable," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,2,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
SDN005998,8/20/2021,12:05,Sudan,Confirmed," Assault (without weapons), Psychological violence/threat of violence/intimidation",0,0,Unknown,NO,YES,NO,NO,NO,,Secondary,,0,0,0,0,0,0
CAF006042,8/18/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
BFA005997,8/18/2021,15:00,Burkina Faso,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,87,YES,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
DRC006041,8/17/2021,04:25,Democratic Republic of the Congo,Confirmed," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials), Setting fire, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,1,YES,YES,NO,YES,YES,NO,,Secondary,,0,0,0,0,0,0
SYR005991,8/16/2021,09:00,Syrian Arab Republic,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
DRC006051,8/13/2021,20:00,Democratic Republic of the Congo,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,YES,YES,YES,YES,,Primary,,0,0,0,0,0,0
MMR005986,8/12/2021,Time Unknown,Myanmar,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
AFG005971,8/9/2021,13:46,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport",1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG006045,8/9/2021,08:30,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
AFG005969,8/7/2021,09:30,Afghanistan,Confirmed,Other,1,1,YES,NO,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005970,8/5/2021,11:00,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,YES,NO,YES,YES,NO,,,,0,0,0,0,0,0
CAF005961,8/3/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,YES,YES,NO,NO,,Primary,,0,0,0,0,0,0
MMR005966,8/2/2021,15:20,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,NO,NO,YES,NO,NO,NO,a student from Nursing University and Volunteers,,,4,0,0,0,0,0
CAF005962,8/2/2021,02:00,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,YES,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
CAF005960,8/2/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
NGA005954,8/1/2021,10:00,Nigeria,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,YES,YES,NO,NO,,,,2,0,0,0,0,0
MMR005946,7/31/2021,Time Unknown,Myanmar,Probable," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,NO,NO,NO,YES,YES,NO,,Pharmacy,,0,0,0,0,0,0
AFG005952,7/31/2021,09:00,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,1,YES,YES,YES,YES,YES,YES,,,,0,0,0,0,0,0
oPt006069,7/30/2021,18:00-00:00,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,NO,YES,NO,NO,Unknown,,,,0,0,0,0,0,0
NGA005953,7/30/2021,Time Unknown,Nigeria,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,NO,YES,NO,NO,YES,,Tertiary,,1,0,1,1,0,1
SYR005943,7/29/2021,11:00,Syrian Arab Republic,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,YES,NO,NO,,Secondary,,0,0,0,0,0,0
CAF005987,7/29/2021,08:00,Central African Republic,Confirmed," Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
oPt006065,7/27/2021,17:00,occupied Palestinian territories,Confirmed," Assault (without weapons), Chemical agent",4,0,NO,NO,YES,NO,NO,Unknown,,,,0,0,0,0,0,0
CAF005999,7/27/2021,13:00,Central African Republic,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation",0,0,NO,YES,NO,NO,NO,NO,,Other,Camions de livraison d'intrants médicaux,0,0,0,0,0,0
AFG005948,7/25/2021,Time Unknown,Afghanistan,Confirmed,Other,2,0,YES,YES,NO,YES,NO,YES,,Primary,,0,0,0,0,0,0
oPt006064,7/23/2021,18:00,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,YES,,,,0,0,0,0,0,0
oPt006063,7/23/2021,17:00,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005907,7/19/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc), Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,NO,YES,NO,NO,NO,,,,7,0,0,0,0,0
NGA005914,7/19/2021,08:30,Nigeria,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
SYR005937,7/18/2021,Time Unknown,Syrian Arab Republic,Confirmed," Armed or violent search of health care personnel, facility or transport, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,YES,NO,NO,NO,YES,,Other,An ambulance ,0,0,0,0,0,0
NGA005915,7/18/2021,Time Unknown,Nigeria,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,2,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
MMR005913,7/17/2021,21:00,Myanmar,Possible," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,NO,YES,NO,YES,,,,0,0,0,0,0,0
MMR005910,7/16/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Assault (without weapons)",1,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
MMR005911,7/16/2021,Time Unknown,Myanmar,Probable," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport",0,0,NO,NO,YES,NO,NO,NO,,,Medical Student,1,0,0,0,0,0
SYR005936,7/14/2021,Time Unknown,Syrian Arab Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,YES,YES,NO,YES,,Secondary,,0,0,0,0,0,0
SYR006107,7/12/2021,23:00,Syrian Arab Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG005951,7/12/2021,Time Unknown,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
CAF005890,7/11/2021,Time Unknown,Central African Republic,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,YES,NO,NO,NO,NO,,Other,Base d'une ONG médicale internationale,0,0,0,0,0,0
NGA005873,7/11/2021,Time Unknown,Nigeria,Probable," Abduction/Arrest/Detention of health personnel or patients, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,YES,NO,NO,NO,,,,1,0,0,0,0,0
CAF005882,7/11/2021,00:00,Central African Republic,Confirmed," Psychological violence/threat of violence/intimidation, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
SYR005863,7/10/2021,05:45,Syrian Arab Republic,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,NO,NO,,Secondary,,0,0,0,0,0,0
CAF005979,7/9/2021,Time Unknown,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
oPt006062,7/9/2021,17:20,occupied Palestinian territories,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
oPt006061,7/9/2021,16:20,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
oPt006060,7/9/2021,15:30,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,YES,NO,NO,NO,,Other,,0,0,0,0,0,0
AFG005947,7/9/2021,Time Unknown,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
CAF005902,7/8/2021,23:45,Central African Republic,Confirmed," Psychological violence/threat of violence/intimidation, Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,NO,NO,YES,NO,,Warehouse,,0,0,0,0,0,0
oPt006070,7/8/2021,06:00-12:00,occupied Palestinian territories,Confirmed," Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,NO,NO,YES,NO,NO,Unknown,emergency relief assistance ,,,0,0,0,0,0,0
SSD005877,7/8/2021,Time Unknown,South Sudan,Confirmed, Unknown,0,13,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
CAF005892,7/8/2021,08:00,Central African Republic,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,NO,YES,NO,NO,NO,NO,,Other,Base ONG médicale internationale,0,0,0,0,0,0
AFG005949,7/7/2021,20:50,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
oPt006071,7/7/2021,02:00,occupied Palestinian territories,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Armed or violent search of health care personnel, facility or transport, Assault (without weapons)",0,0,NO,NO,YES,NO,NO,NO,,,,0,1,0,0,0,0
SSD005876,7/6/2021,11:35,South Sudan,Confirmed," Abduction/Arrest/Detention of health personnel or patients, Assault (without weapons)",0,1,YES,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
